epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8508.06,1.54096,2.7126,2.28658,1.14955,0.3958,0.41955,0.40473,0.23318,0.37392,0.40476,0.38043,0.1883,1.31578,2.19342,1.45094,1.04428,0.0033316,0.0033316,0.0033316
2,17705.3,1.52104,2.58635,1.67505,1.10469,0.45551,0.44708,0.39802,0.22989,0.44472,0.42186,0.37159,0.18233,1.35871,2.28412,1.4587,1.04987,0.00653296,0.00653296,0.00653296
3,26777.4,1.57263,2.65896,1.65482,1.12382,0.42335,0.44023,0.40005,0.23172,0.41055,0.42042,0.38126,0.19078,1.37323,2.31042,1.36192,1.07258,0.00960233,0.00960233,0.00960233
4,35877.9,1.58897,2.67668,1.61183,1.13362,0.48743,0.3954,0.43107,0.25306,0.47094,0.37783,0.40572,0.20583,1.31923,2.2032,1.26054,1.05773,0.009406,0.009406,0.009406
5,44926.6,1.53951,2.59412,1.51568,1.11325,0.47551,0.47429,0.46556,0.28163,0.45795,0.453,0.44045,0.23013,1.27067,2.16536,1.22808,1.03307,0.009208,0.009208,0.009208
6,53952,1.50334,2.53349,1.45066,1.09951,0.5084,0.50753,0.48754,0.2997,0.48711,0.48369,0.46131,0.24423,1.25668,2.11415,1.11649,1.02402,0.00901,0.00901,0.00901
7,62562.7,1.48212,2.49798,1.41576,1.08962,0.48238,0.51077,0.49262,0.29866,0.46303,0.49245,0.46689,0.24696,1.27181,2.06571,1.10864,1.02696,0.008812,0.008812,0.008812
8,71761,1.46859,2.47612,1.38976,1.08369,0.59054,0.50857,0.52628,0.32271,0.57238,0.49038,0.50153,0.26399,1.23376,2.04351,1.06816,1.01219,0.008614,0.008614,0.008614
9,80830.8,1.4588,2.45341,1.36423,1.07731,0.57688,0.50994,0.52719,0.32814,0.56291,0.49324,0.5054,0.26939,1.21353,2.01357,1.05238,1.00655,0.008416,0.008416,0.008416
10,89511,1.44073,2.42488,1.34466,1.07234,0.59518,0.5231,0.53975,0.33306,0.57955,0.50474,0.51668,0.27409,1.21025,2.00585,1.03514,0.99934,0.008218,0.008218,0.008218
11,98852.9,1.43079,2.40993,1.32553,1.06634,0.58648,0.53251,0.54736,0.3437,0.56989,0.50924,0.52094,0.28137,1.1872,1.9725,1.02091,0.99766,0.00802,0.00802,0.00802
12,107815,1.42078,2.38952,1.3079,1.06247,0.59917,0.52768,0.54833,0.34199,0.59212,0.48999,0.51764,0.27803,1.18301,1.96273,1.00002,0.99287,0.007822,0.007822,0.007822
13,116935,1.41891,2.38469,1.29872,1.06213,0.62989,0.52604,0.55667,0.3502,0.60756,0.50618,0.53166,0.2873,1.18168,1.94714,0.99387,0.99294,0.007624,0.007624,0.007624
14,125797,1.4088,2.36635,1.28356,1.0569,0.61872,0.53706,0.56119,0.35411,0.5976,0.51259,0.53418,0.2891,1.16629,1.93469,0.976,0.98644,0.007426,0.007426,0.007426
15,134622,1.4038,2.35064,1.2719,1.05404,0.6382,0.52961,0.56395,0.35581,0.61664,0.50826,0.53626,0.29062,1.15913,1.91776,0.96946,0.9851,0.007228,0.007228,0.007228
16,143004,1.39381,2.33688,1.2631,1.04929,0.64493,0.53523,0.57099,0.36289,0.62615,0.51328,0.54368,0.29774,1.15291,1.91736,0.95751,0.98233,0.00703,0.00703,0.00703
17,151818,1.38831,2.32207,1.24607,1.04646,0.64657,0.53252,0.57444,0.365,0.62583,0.5107,0.54598,0.29664,1.15284,1.90987,0.95825,0.9791,0.006832,0.006832,0.006832
18,160023,1.37996,2.31473,1.24089,1.04431,0.62811,0.54945,0.57633,0.36713,0.61552,0.52322,0.5503,0.29939,1.14604,1.89565,0.94689,0.97604,0.006634,0.006634,0.006634
19,168031,1.37502,2.30442,1.22668,1.04087,0.65533,0.54805,0.58003,0.37092,0.64312,0.52483,0.55478,0.30241,1.14509,1.89151,0.9446,0.97627,0.006436,0.006436,0.006436
20,176699,1.37281,2.30122,1.22577,1.03967,0.6415,0.55041,0.58028,0.37244,0.62105,0.52754,0.55197,0.30195,1.1411,1.88291,0.93545,0.97595,0.006238,0.006238,0.006238
21,184697,1.37176,2.29744,1.22022,1.03901,0.64834,0.54813,0.58476,0.37569,0.63126,0.52343,0.55595,0.30564,1.13932,1.87643,0.93063,0.97425,0.00604,0.00604,0.00604
