epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2317.48,1.53216,2.66196,2.42524,1.14008,0.54784,0.52377,0.49818,0.29659,0.53211,0.50231,0.47099,0.23953,1.25268,2.15967,1.55832,1.03586,0.00333204,0.00333204,0.00333204
2,4825.82,1.51616,2.53628,1.85109,1.10704,0.56372,0.5258,0.50484,0.30305,0.55258,0.50839,0.48162,0.24618,1.29668,2.19281,1.45077,1.05076,0.0065334,0.0065334,0.0065334
3,7626.79,1.57309,2.62161,1.83729,1.13084,0.55881,0.51568,0.49504,0.29299,0.5456,0.4891,0.46732,0.23449,1.3167,2.24712,1.45092,1.07203,0.00960276,0.00960276,0.00960276
4,10516.2,1.57695,2.62636,1.78491,1.13714,0.58426,0.54346,0.52891,0.3225,0.56918,0.5234,0.50338,0.25694,1.27371,2.15762,1.33365,1.04802,0.009406,0.009406,0.009406
5,13544.6,1.52573,2.54018,1.68925,1.11763,0.60791,0.56455,0.55937,0.34331,0.58733,0.54466,0.53092,0.27926,1.23546,2.1072,1.26008,1.03736,0.009208,0.009208,0.009208
6,16711.5,1.49935,2.49919,1.6271,1.10502,0.62566,0.57763,0.58316,0.36198,0.61211,0.54747,0.55028,0.29018,1.20932,2.04987,1.20568,1.0216,0.00901,0.00901,0.00901
7,19960.7,1.47199,2.44925,1.5806,1.09734,0.63348,0.58961,0.59622,0.37197,0.61606,0.5578,0.55842,0.29062,1.18986,2.03976,1.17438,1.02131,0.008812,0.008812,0.008812
8,23326.1,1.45706,2.42186,1.5541,1.08791,0.63301,0.60106,0.60471,0.37942,0.60171,0.57392,0.56432,0.2973,1.16945,1.98099,1.13626,1.00934,0.008614,0.008614,0.008614
9,26837.9,1.43858,2.39025,1.5186,1.0799,0.6415,0.61082,0.61416,0.38926,0.61482,0.58071,0.57738,0.31041,1.15232,1.95098,1.11575,1.00419,0.008416,0.008416,0.008416
10,30022.3,1.42874,2.36696,1.49426,1.07618,0.66452,0.60727,0.62626,0.39806,0.64628,0.57894,0.5917,0.31579,1.14555,1.94414,1.09783,1.00144,0.008218,0.008218,0.008218
11,33402.6,1.41823,2.34814,1.48084,1.0711,0.66842,0.61575,0.63463,0.40456,0.64802,0.58514,0.59695,0.3194,1.1305,1.91257,1.07725,0.99303,0.00802,0.00802,0.00802
12,36438,1.41495,2.34436,1.46719,1.06969,0.66028,0.6244,0.63896,0.40981,0.64086,0.58959,0.60075,0.32455,1.12661,1.89982,1.06757,0.99006,0.007822,0.007822,0.007822
13,1905.2,1.39986,2.32009,1.44378,1.0635,0.67971,0.6252,0.64678,0.41422,0.65632,0.59505,0.6074,0.32585,1.11618,1.88379,1.05217,0.98772,0.007624,0.007624,0.007624
14,4171.15,1.39395,2.31054,1.42968,1.06128,0.6673,0.6316,0.64712,0.41665,0.64999,0.59917,0.60888,0.32791,1.1111,1.87185,1.04202,0.98578,0.007426,0.007426,0.007426
15,6302.96,1.38799,2.30159,1.42121,1.05917,0.67253,0.62742,0.64951,0.41973,0.65311,0.59457,0.61087,0.32977,1.1056,1.86582,1.03604,0.98249,0.007228,0.007228,0.007228
16,8322.08,1.38189,2.28849,1.40568,1.05574,0.66975,0.63851,0.65395,0.42246,0.65377,0.60234,0.61372,0.33008,1.1017,1.86174,1.02757,0.98224,0.00703,0.00703,0.00703
17,9912.88,1.37505,2.2768,1.39778,1.05304,0.67352,0.63762,0.65806,0.42726,0.65952,0.60274,0.61961,0.33508,1.0956,1.85578,1.02027,0.97881,0.006832,0.006832,0.006832
18,12192.5,1.37519,2.27568,1.38958,1.05124,0.67338,0.63945,0.65927,0.42673,0.65731,0.60454,0.62013,0.33372,1.09279,1.85157,1.01739,0.97771,0.006634,0.006634,0.006634
19,14509.5,1.36371,2.25632,1.37631,1.04968,0.68748,0.63136,0.66096,0.42856,0.66446,0.59939,0.62102,0.33576,1.09116,1.84911,1.00962,0.97729,0.006436,0.006436,0.006436
20,16963.3,1.36069,2.25194,1.37248,1.04624,0.67915,0.64094,0.66253,0.42984,0.655,0.60875,0.62204,0.33656,1.08862,1.84391,1.00386,0.97606,0.006238,0.006238,0.006238
