epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2993.53,1.56186,2.70008,2.42819,1.14345,0.46218,0.49109,0.4099,0.23912,0.45151,0.47115,0.3904,0.19032,1.36187,2.29978,1.70306,1.04269,0.00333223,0.00333223,0.00333223
2,6294.11,1.55402,2.58701,1.87767,1.11552,0.47716,0.49191,0.42765,0.25302,0.46847,0.46946,0.4058,0.2034,1.36674,2.30009,1.58966,1.05421,0.00653359,0.00653359,0.00653359
3,9635.77,1.60474,2.66775,1.85734,1.13674,0.47666,0.48511,0.42792,0.25006,0.46502,0.46591,0.40584,0.19884,1.38506,2.35589,1.58206,1.06417,0.00960294,0.00960294,0.00960294
4,12884.2,1.60707,2.66404,1.80801,1.14358,0.51394,0.50823,0.46555,0.27849,0.49792,0.49083,0.44265,0.22307,1.33974,2.24852,1.42395,1.05632,0.009406,0.009406,0.009406
5,15958.2,1.55423,2.57986,1.70187,1.12319,0.53193,0.53904,0.48969,0.29542,0.51577,0.51768,0.46448,0.23611,1.30753,2.18715,1.34659,1.03658,0.009208,0.009208,0.009208
6,19159.3,1.52797,2.53546,1.64315,1.1094,0.54471,0.55451,0.5055,0.31137,0.52751,0.53237,0.47941,0.24578,1.26864,2.12264,1.29801,1.0236,0.00901,0.00901,0.00901
7,22661.1,1.50273,2.48933,1.59788,1.09981,0.55669,0.56206,0.52817,0.32473,0.54481,0.53174,0.49872,0.25637,1.25209,2.09617,1.25785,1.0188,0.008812,0.008812,0.008812
8,26170,1.48804,2.4628,1.56308,1.09175,0.56557,0.5666,0.53581,0.33258,0.55137,0.53754,0.50734,0.26101,1.23642,2.06166,1.22796,1.01056,0.008614,0.008614,0.008614
9,29772.9,1.47205,2.43308,1.53486,1.08648,0.57474,0.56725,0.54665,0.34106,0.55973,0.54146,0.51674,0.26955,1.22692,2.03841,1.20341,1.00703,0.008416,0.008416,0.008416
10,33035.9,1.4623,2.42175,1.51512,1.08149,0.5781,0.57605,0.55438,0.3477,0.5626,0.54922,0.52613,0.27305,1.21454,2.0192,1.18815,1.00134,0.008218,0.008218,0.008218
11,36189.6,1.45598,2.40235,1.50497,1.0803,0.5913,0.58312,0.56395,0.35291,0.57548,0.55547,0.53439,0.27753,1.20701,2.00207,1.16846,0.99872,0.00802,0.00802,0.00802
12,39111.3,1.44826,2.39257,1.48499,1.07621,0.60146,0.57955,0.56837,0.35847,0.58411,0.55645,0.53948,0.28345,1.20046,1.99132,1.1549,0.99578,0.007822,0.007822,0.007822
13,41231.3,1.44404,2.37948,1.47566,1.07279,0.59447,0.58574,0.56993,0.36003,0.58278,0.55378,0.54079,0.28422,1.19228,1.98159,1.14514,0.99231,0.007624,0.007624,0.007624
14,44276.6,1.43349,2.36559,1.45585,1.06879,0.59912,0.58886,0.5737,0.36379,0.5856,0.55887,0.54511,0.28635,1.18708,1.97435,1.13419,0.9905,0.007426,0.007426,0.007426
15,47205.6,1.42807,2.35534,1.44744,1.06644,0.60261,0.59146,0.57903,0.36746,0.59365,0.55473,0.54881,0.28937,1.18279,1.96327,1.12277,0.98908,0.007228,0.007228,0.007228
16,49972.5,1.42432,2.35127,1.4362,1.06174,0.61022,0.591,0.58307,0.37042,0.59074,0.56125,0.55125,0.29063,1.17734,1.95673,1.11617,0.98669,0.00703,0.00703,0.00703
17,52506.2,1.41746,2.33871,1.42601,1.06069,0.60817,0.59495,0.58615,0.37281,0.59231,0.56497,0.55425,0.29276,1.17435,1.95012,1.10988,0.98597,0.006832,0.006832,0.006832
18,55173.3,1.41189,2.32862,1.41666,1.05894,0.61141,0.59769,0.58925,0.37485,0.59449,0.56883,0.5574,0.2945,1.17144,1.9462,1.1057,0.98488,0.006634,0.006634,0.006634
19,57169.5,1.40567,2.31612,1.40395,1.05683,0.615,0.59774,0.5905,0.37628,0.59701,0.56859,0.55918,0.2957,1.16984,1.94242,1.10128,0.98331,0.006436,0.006436,0.006436
20,59847.5,1.40457,2.31202,1.39822,1.05556,0.61681,0.59849,0.59218,0.37774,0.6017,0.56549,0.56042,0.29661,1.16759,1.93932,1.09736,0.98245,0.006238,0.006238,0.006238
21,62678.3,1.39686,2.29429,1.39111,1.05286,0.62077,0.59576,0.5936,0.37894,0.60186,0.56859,0.56137,0.29716,1.16597,1.93781,1.09431,0.98167,0.00604,0.00604,0.00604
22,64731.4,1.38751,2.28612,1.3772,1.04947,0.62069,0.59842,0.59465,0.37931,0.60307,0.56849,0.56204,0.29788,1.16504,1.93597,1.09124,0.98097,0.005842,0.005842,0.005842
23,66766.2,1.38576,2.28121,1.3696,1.04828,0.61929,0.60044,0.59548,0.3798,0.60464,0.5694,0.56339,0.29829,1.16404,1.93366,1.08887,0.98044,0.005644,0.005644,0.005644
24,68556.4,1.38191,2.27909,1.36343,1.0466,0.61968,0.60076,0.5961,0.38072,0.60652,0.56867,0.56456,0.29863,1.1626,1.9312,1.08647,0.97981,0.005446,0.005446,0.005446
25,70628.7,1.38007,2.27135,1.35715,1.04577,0.6208,0.60072,0.59776,0.38171,0.60688,0.56984,0.56603,0.29948,1.16174,1.92842,1.08411,0.97924,0.005248,0.005248,0.005248
26,73070.8,1.37826,2.26695,1.34872,1.04422,0.62272,0.60013,0.59852,0.38253,0.60725,0.57077,0.56668,0.30006,1.16088,1.92663,1.08197,0.9788,0.00505,0.00505,0.00505
27,75477.9,1.37386,2.25969,1.34052,1.03989,0.62179,0.60268,0.59938,0.3833,0.6082,0.57035,0.56721,0.3009,1.15946,1.92495,1.0797,0.97814,0.004852,0.004852,0.004852
28,77726.9,1.36914,2.25111,1.33005,1.03905,0.62221,0.60314,0.6002,0.38405,0.60936,0.57006,0.56781,0.30162,1.15857,1.92247,1.07739,0.97794,0.004654,0.004654,0.004654
29,79929,1.36723,2.24893,1.33194,1.03825,0.6243,0.60308,0.60113,0.38483,0.6103,0.57049,0.56878,0.30223,1.15773,1.9207,1.07517,0.97756,0.004456,0.004456,0.004456
30,82137.7,1.36287,2.23982,1.32368,1.03614,0.62801,0.6014,0.60221,0.38589,0.60957,0.5735,0.57017,0.30306,1.1569,1.91907,1.07253,0.97737,0.004258,0.004258,0.004258
31,84349.6,1.35452,2.22783,1.31252,1.03318,0.62839,0.60292,0.6034,0.38655,0.60955,0.57514,0.57151,0.30391,1.15618,1.91718,1.06973,0.97689,0.00406,0.00406,0.00406
32,86643.4,1.35237,2.22262,1.30655,1.03296,0.62398,0.60743,0.60438,0.38723,0.61174,0.57464,0.57223,0.30443,1.1552,1.91511,1.06736,0.97642,0.003862,0.003862,0.003862
33,88865.1,1.35085,2.21976,1.30223,1.0325,0.62224,0.61107,0.60538,0.3878,0.61179,0.57638,0.57302,0.30504,1.15398,1.9134,1.06509,0.97587,0.003664,0.003664,0.003664
34,91090.7,1.34513,2.20774,1.29465,1.02965,0.62174,0.61285,0.6065,0.3888,0.61171,0.57764,0.57416,0.30565,1.15265,1.91168,1.06286,0.97509,0.003466,0.003466,0.003466
35,93319.9,1.34059,2.20317,1.29098,1.02927,0.62514,0.61113,0.60723,0.38962,0.61519,0.57527,0.57458,0.30603,1.15149,1.90929,1.06055,0.97437,0.003268,0.003268,0.003268
36,95542.3,1.33942,2.1974,1.27937,1.0266,0.62741,0.61146,0.60832,0.39046,0.61404,0.57588,0.5759,0.30656,1.1505,1.90721,1.05849,0.97384,0.00307,0.00307,0.00307
37,97709.2,1.33547,2.19339,1.27272,1.025,0.62888,0.60999,0.60885,0.39113,0.61299,0.57687,0.57668,0.30684,1.14933,1.90513,1.05598,0.97315,0.002872,0.002872,0.002872
38,99973,1.33156,2.18296,1.26927,1.02315,0.63042,0.61048,0.60958,0.39181,0.61532,0.57496,0.57748,0.30764,1.14809,1.90352,1.05375,0.97248,0.002674,0.002674,0.002674
39,102139,1.32601,2.16883,1.25944,1.02151,0.63175,0.61096,0.61036,0.39289,0.61452,0.57757,0.57808,0.30814,1.14678,1.90162,1.05121,0.97188,0.002476,0.002476,0.002476
40,104240,1.32055,2.16429,1.2457,1.0201,0.63225,0.61065,0.61144,0.39366,0.6143,0.57901,0.57909,0.30859,1.14582,1.90017,1.04873,0.9714,0.002278,0.002278,0.002278
41,106559,1.31502,2.14954,1.172,1.0172,0.63418,0.61064,0.61275,0.39469,0.61454,0.57985,0.57996,0.30971,1.14448,1.89842,1.04608,0.97073,0.00208,0.00208,0.00208
42,108717,1.30851,2.13228,1.15368,1.01495,0.63452,0.61273,0.61393,0.39568,0.61717,0.58068,0.58114,0.31041,1.14329,1.89625,1.04362,0.97024,0.001882,0.001882,0.001882
43,110692,1.30079,2.12333,1.14356,1.01147,0.63535,0.61386,0.61502,0.39665,0.61932,0.58115,0.58228,0.31097,1.14215,1.8943,1.04085,0.96964,0.001684,0.001684,0.001684
44,112706,1.29498,2.10966,1.12959,1.00959,0.63608,0.61562,0.6163,0.39777,0.61852,0.58415,0.58324,0.31205,1.14125,1.89257,1.03817,0.96927,0.001486,0.001486,0.001486
45,114787,1.29005,2.10082,1.12271,1.0061,0.63601,0.6167,0.61751,0.39869,0.61912,0.58508,0.58399,0.31302,1.14022,1.8907,1.03569,0.96888,0.001288,0.001288,0.001288
46,116910,1.28573,2.09033,1.11068,1.00555,0.63731,0.61784,0.61852,0.39982,0.6228,0.58445,0.58529,0.31379,1.13923,1.88912,1.03342,0.96848,0.00109,0.00109,0.00109
47,119057,1.27911,2.08098,1.0976,1.0025,0.63856,0.61871,0.61947,0.40074,0.62502,0.58413,0.586,0.31451,1.13839,1.88734,1.03119,0.968,0.000892,0.000892,0.000892
48,121233,1.27349,2.06951,1.09052,0.99962,0.63803,0.62,0.62026,0.40157,0.6271,0.58433,0.58707,0.31538,1.13794,1.88541,1.0292,0.96762,0.000694,0.000694,0.000694
49,123458,1.26675,2.06129,1.08221,0.99709,0.63927,0.61975,0.62118,0.40223,0.6258,0.58713,0.58791,0.31605,1.13748,1.88387,1.02717,0.96741,0.000496,0.000496,0.000496
50,125626,1.26324,2.0542,1.06986,0.9962,0.64072,0.62063,0.62176,0.40272,0.62689,0.58792,0.58911,0.31652,1.13723,1.88246,1.02529,0.96725,0.000298,0.000298,0.000298
