epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2982.98,1.42678,2.65708,2.23397,1.14764,0.5644,0.51413,0.49686,0.30664,0.54627,0.49425,0.47126,0.24395,1.20974,2.23034,1.5083,1.03418,0.00333246,0.00333246,0.00333246
2,6174.64,1.42252,2.54617,1.70943,1.12613,0.57499,0.52692,0.51436,0.31537,0.5547,0.51129,0.49121,0.25269,1.21035,2.22254,1.37396,1.03329,0.00653381,0.00653381,0.00653381
3,9480.43,1.46847,2.61069,1.67821,1.14669,0.58865,0.52018,0.51589,0.31919,0.5714,0.50028,0.48931,0.25429,1.22117,2.23211,1.35403,1.04229,0.00960317,0.00960317,0.00960317
4,12959.7,1.47075,2.60738,1.6279,1.15296,0.59613,0.54934,0.54686,0.34546,0.57951,0.52793,0.52109,0.27817,1.17653,2.12482,1.23013,1.02771,0.009406,0.009406,0.009406
5,16496.7,1.41822,2.51966,1.52206,1.13097,0.62419,0.565,0.57421,0.36573,0.60368,0.54063,0.54289,0.29078,1.14665,2.081,1.16353,1.01091,0.009208,0.009208,0.009208
6,19969.7,1.39231,2.47974,1.46919,1.11931,0.62888,0.5874,0.59549,0.38244,0.60803,0.56196,0.5638,0.30405,1.12242,2.03047,1.11421,1.00281,0.00901,0.00901,0.00901
7,23510,1.36969,2.43527,1.43272,1.10919,0.64465,0.59257,0.60483,0.39187,0.62527,0.56741,0.57227,0.30976,1.10441,1.99176,1.07783,0.99339,0.008812,0.008812,0.008812
8,26888,1.35396,2.41061,1.39725,1.10218,0.65279,0.59293,0.6132,0.39848,0.6382,0.56419,0.58046,0.31475,1.09263,1.97221,1.06042,0.98725,0.008614,0.008614,0.008614
9,30409.3,1.34602,2.38969,1.37403,1.09725,0.65299,0.60452,0.62224,0.40541,0.64121,0.57356,0.58772,0.31901,1.08371,1.95697,1.04024,0.98407,0.008416,0.008416,0.008416
10,34251.5,1.33324,2.37043,1.35478,1.09134,0.66388,0.60128,0.62664,0.4111,0.64992,0.57429,0.59444,0.32568,1.07436,1.93824,1.02658,0.98077,0.008218,0.008218,0.008218
11,37742.7,1.32151,2.35336,1.33267,1.08633,0.66908,0.60546,0.63021,0.41448,0.65388,0.57983,0.59766,0.32733,1.06596,1.92343,1.0164,0.97636,0.00802,0.00802,0.00802
